Token,IOB,Entity_Type_Number,Attention_Mask
the,O,0,0
smart,O,0,0
home,O,0,0
system,O,0,0
consists,O,0,0
of,O,0,0
a,O,0,0
central,B,11,1
hub,I,11,1
that,O,0,0
connects,O,0,0
to,O,0,0
various,O,0,0
iot,O,0,0
devices,O,0,0
including,O,0,0
a,O,0,0
smart,B,11,1
thermostat,I,11,1
a,O,0,0
smart,B,11,1
lighting,I,11,1
system,I,11,1
and,O,0,0
a,O,0,0
security,O,0,0
camera,O,0,0
.,O,0,0
the,O,0,0
thermostat,O,0,0
monitors,O,0,0
temperature,O,0,0
and,O,0,0
humidity,O,0,0
levels,O,0,0
in,O,0,0
the,O,0,0
house,O,0,0
automatically,O,0,0
adjusting,O,0,0
the,O,0,0
heating,O,0,0
or,O,0,0
cooling,O,0,0
based,O,0,0
on,O,0,0
user,O,0,0
preferences,O,0,0
.,O,0,0
a,O,0,0
smart,O,0,0
city,O,0,0
deploys,O,0,0
traffic,B,6,1
flow,I,6,1
sensors,I,6,1
environmental,B,6,1
monitoring,I,6,1
stations,I,6,1
and,O,0,0
smart,B,13,1
traffic,I,13,1
lights,I,13,1
.,O,0,0
the,O,0,0
traffic,B,6,1
flow,I,6,1
sensors,I,6,1
track,O,0,0
vehicle,O,0,0
movement,O,0,0
helping,O,0,0
to,O,0,0
optimize,O,0,0
traffic,O,0,0
light,O,0,0
timing,O,0,0
.,O,0,0
environmental,B,6,1
monitoring,I,6,1
stations,I,6,1
use,O,0,0
humidity,B,6,1
sensors,I,6,1
and,O,0,0
air,B,6,1
quality,I,6,1
sensors,I,6,1
to,O,0,0
track,O,0,0
pollution,O,0,0
levels,O,0,0
.,O,0,0
all,O,0,0
devices,O,0,0
are,O,0,0
connected,O,0,0
through,O,0,0
a,O,0,0
g,O,0,0
network,O,0,0
for,O,0,0
fast,O,0,0
realtime,O,0,0
data,O,0,0
transmission,O,0,0
.,O,0,0
the,O,0,0
lighting,B,11,1
system,I,11,1
can,O,0,0
be,O,0,0
controlled,O,0,0
remotely,O,0,0
via,O,0,0
a,O,0,0
mobile,O,0,0
app,O,0,0
and,O,0,0
can,O,0,0
turn,O,0,0
onoff,O,0,0
lights,O,0,0
based,O,0,0
on,O,0,0
occupancy,O,0,0
detection,O,0,0
.,O,0,0
in,O,0,0
a,O,0,0
smart,O,0,0
warehouse,O,0,0
conveyor,B,13,1
belt,I,13,1
actuators,I,13,1
rfid,B,4,1
tags,O,0,0
and,O,0,0
environmental,O,0,0
monitoring,O,0,0
systems,O,0,0
help,O,0,0
optimize,O,0,0
logistics,O,0,0
.,O,0,0
the,O,0,0
actuators,O,0,0
manage,O,0,0
the,O,0,0
movement,O,0,0
of,O,0,0
products,O,0,0
on,O,0,0
the,O,0,0
conveyor,O,0,0
belt,O,0,0
while,O,0,0
rfid,B,4,1
tags,O,0,0
track,O,0,0
inventory,O,0,0
.,O,0,0
humidity,B,6,1
sensors,I,6,1
and,O,0,0
air,B,6,1
quality,I,6,1
sensors,I,6,1
provide,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
environmental,O,0,0
monitoring,O,0,0
system,O,0,0
to,O,0,0
ensure,O,0,0
optimal,O,0,0
storage,O,0,0
conditions,O,0,0
.,O,0,0
in,O,0,0
healthcare,O,0,0
facilities,O,0,0
wearable,O,0,0
health,O,0,0
monitors,O,0,0
biomedical,B,6,1
sensors,I,6,1
and,O,0,0
remote,B,2,1
patient,I,2,1
monitoring,I,2,1
systems,I,2,1
are,O,0,0
used,O,0,0
to,O,0,0
track,O,0,0
patient,O,0,0
vitals,O,0,0
.,O,0,0
the,O,0,0
wearable,O,0,0
monitors,O,0,0
collect,O,0,0
data,O,0,0
like,O,0,0
heart,O,0,0
rate,O,0,0
and,O,0,0
temperature,O,0,0
while,O,0,0
biomedical,B,6,1
sensors,I,6,1
capture,O,0,0
more,O,0,0
detailed,O,0,0
information,O,0,0
such,O,0,0
as,O,0,0
oxygen,O,0,0
levels,O,0,0
.,O,0,0
all,O,0,0
data,O,0,0
is,O,0,0
sent,O,0,0
to,O,0,0
a,O,0,0
central,O,0,0
system,O,0,0
via,O,0,0
bluetooth,B,4,1
for,O,0,0
realtime,O,0,0
analysis,O,0,0
and,O,0,0
alerts,O,0,0
.,O,0,0
the,O,0,0
security,O,0,0
camera,O,0,0
is,O,0,0
equipped,O,0,0
with,O,0,0
motion,B,6,1
sensors,I,6,1
and,O,0,0
sends,O,0,0
realtime,O,0,0
alerts,O,0,0
to,O,0,0
the,O,0,0
users,O,0,0
smartphone,O,0,0
in,O,0,0
case,O,0,0
of,O,0,0
suspicious,O,0,0
activity,O,0,0
.,O,0,0
in,O,0,0
the,O,0,0
manufacturing,O,0,0
plant,O,0,0
the,O,0,0
industrial,O,0,0
automation,O,0,0
system,O,0,0
integrates,O,0,0
several,O,0,0
iot,O,0,0
components,O,0,0
such,O,0,0
as,O,0,0
pressure,B,6,1
sensors,I,6,1
flow,B,6,1
sensors,I,6,1
and,O,0,0
hydraulic,B,13,1
actuators,I,13,1
.,O,0,0
the,O,0,0
pressure,B,6,1
sensors,I,6,1
monitor,O,0,0
pressure,O,0,0
levels,O,0,0
in,O,0,0
the,O,0,0
pipelines,O,0,0
providing,O,0,0
realtime,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
control,O,0,0
system,O,0,0
.,O,0,0
flow,B,6,1
sensors,I,6,1
measure,O,0,0
liquid,O,0,0
flow,O,0,0
rates,O,0,0
while,O,0,0
hydraulic,B,13,1
actuators,I,13,1
adjust,O,0,0
valves,O,0,0
according,O,0,0
to,O,0,0
operational,O,0,0
needs,O,0,0
.,O,0,0
these,O,0,0
systems,O,0,0
can,O,0,0
be,O,0,0
monitored,O,0,0
and,O,0,0
controlled,O,0,0
remotely,O,0,0
through,O,0,0
a,O,0,0
secure,O,0,0
user,O,0,0
interface,O,0,0
.,O,0,0
the,O,0,0
smart,O,0,0
factory,O,0,0
integrates,O,0,0
multiple,O,0,0
iot,O,0,0
components,O,0,0
such,O,0,0
as,O,0,0
temperature,O,0,0
sensors,O,0,0
rfid,B,4,1
tags,O,0,0
and,O,0,0
robotic,B,13,1
arms,I,13,1
.,O,0,0
the,O,0,0
temperature,O,0,0
sensors,O,0,0
monitor,O,0,0
heat,O,0,0
levels,O,0,0
in,O,0,0
realtime,O,0,0
while,O,0,0
rfid,B,4,1
tags,O,0,0
track,O,0,0
the,O,0,0
movement,O,0,0
of,O,0,0
raw,O,0,0
materials,O,0,0
through,O,0,0
the,O,0,0
production,O,0,0
line,O,0,0
.,O,0,0
the,O,0,0
robotic,B,13,1
arms,I,13,1
controlled,O,0,0
by,O,0,0
a,O,0,0
central,O,0,0
system,O,0,0
handle,O,0,0
the,O,0,0
assembly,O,0,0
of,O,0,0
products,O,0,0
.,O,0,0
these,O,0,0
devices,O,0,0
are,O,0,0
connected,O,0,0
via,O,0,0
a,O,0,0
lora,B,4,1
network,O,0,0
for,O,0,0
efficient,O,0,0
communication,O,0,0
across,O,0,0
large,O,0,0
areas,O,0,0
.,O,0,0
the,O,0,0
smart,O,0,0
city,O,0,0
infrastructure,O,0,0
includes,O,0,0
temperature,O,0,0
sensors,O,0,0
and,O,0,0
humidity,B,6,1
sensors,I,6,1
deployed,O,0,0
across,O,0,0
the,O,0,0
city,O,0,0
to,O,0,0
monitor,O,0,0
environmental,O,0,0
conditions,O,0,0
.,O,0,0
these,O,0,0
sensors,O,0,0
send,O,0,0
realtime,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
control,O,0,0
center,O,0,0
enabling,O,0,0
timely,O,0,0
responses,O,0,0
to,O,0,0
weather,O,0,0
changes,O,0,0
.,O,0,0
a,O,0,0
smart,O,0,0
farming,O,0,0
system,O,0,0
includes,O,0,0
dronebased,O,0,0
crop,O,0,0
monitoring,O,0,0
soil,B,14,1
moisture,I,14,1
sensors,I,14,1
and,O,0,0
water,B,13,1
pumps,I,13,1
.,O,0,0
the,O,0,0
drones,O,0,0
capture,O,0,0
highresolution,O,0,0
images,O,0,0
to,O,0,0
monitor,O,0,0
crop,O,0,0
health,O,0,0
while,O,0,0
soil,B,14,1
moisture,I,14,1
sensors,I,14,1
measure,O,0,0
