Token,IOB,Entity_Type_Number,Attention_Mask
in,O,0,0
a,O,0,0
smart,O,0,0
agriculture,O,0,0
system,O,0,0
soil,B,14,1
moisture,I,14,1
sensors,I,14,1
and,O,0,0
ph,B,6,1
sensors,I,6,1
are,O,0,0
deployed,O,0,0
to,O,0,0
monitor,O,0,0
soil,O,0,0
conditions,O,0,0
.,O,0,0
the,O,0,0
data,O,0,0
is,O,0,0
transmitted,O,0,0
via,O,0,0
zigbee,B,4,1
protocol,O,0,0
to,O,0,0
a,O,0,0
central,O,0,0
monitoring,O,0,0
station,O,0,0
.,O,0,0
the,O,0,0
irrigation,B,13,1
system,I,13,1
equipped,O,0,0
with,O,0,0
automated,O,0,0
water,B,13,1
pumps,I,13,1
adjusts,O,0,0
the,O,0,0
water,O,0,0
supply,O,0,0
based,O,0,0
on,O,0,0
sensor,O,0,0
data,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
also,O,0,0
integrates,O,0,0
temperature,O,0,0
sensors,O,0,0
to,O,0,0
track,O,0,0
environmental,O,0,0
conditions,O,0,0
and,O,0,0
a,O,0,0
drone,O,0,0
for,O,0,0
aerial,O,0,0
monitoring,O,0,0
of,O,0,0
crop,O,0,0
health,O,0,0
.,O,0,0
bluetooth,B,4,1
low,I,4,1
energy,I,4,1
ble,O,0,0
is,O,0,0
used,O,0,0
for,O,0,0
communication,O,0,0
between,O,0,0
the,O,0,0
drone,O,0,0
and,O,0,0
the,O,0,0
central,B,11,1
hub,I,11,1
.,O,0,0
additionally,O,0,0
weather,O,0,0
sensors,O,0,0
provide,O,0,0
realtime,O,0,0
updates,O,0,0
on,O,0,0
temperature,O,0,0
humidity,O,0,0
and,O,0,0
wind,O,0,0
speed,O,0,0
.,O,0,0
in,O,0,0
the,O,0,0
oil,O,0,0
and,O,0,0
gas,O,0,0
industry,O,0,0
vibration,O,0,0
sensors,O,0,0
are,O,0,0
used,O,0,0
to,O,0,0
detect,O,0,0
equipment,O,0,0
faults,O,0,0
in,O,0,0
pipelines,O,0,0
.,O,0,0
pressure,B,6,1
sensors,I,6,1
are,O,0,0
installed,O,0,0
to,O,0,0
monitor,O,0,0
gas,O,0,0
pressure,O,0,0
in,O,0,0
storage,O,0,0
tanks,O,0,0
and,O,0,0
flow,O,0,0
meters,O,0,0
measure,O,0,0
the,O,0,0
flow,O,0,0
of,O,0,0
oil,O,0,0
through,O,0,0
pipelines,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
uses,O,0,0
the,O,0,0
mqtt,O,0,0
protocol,O,0,0
to,O,0,0
send,O,0,0
realtime,O,0,0
sensor,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
control,O,0,0
room,O,0,0
.,O,0,0
to,O,0,0
prevent,O,0,0
leaks,O,0,0
ultrasonic,B,6,1
sensors,I,6,1
are,O,0,0
employed,O,0,0
to,O,0,0
detect,O,0,0
the,O,0,0
presence,O,0,0
of,O,0,0
gases,O,0,0
in,O,0,0
confined,O,0,0
spaces,O,0,0
.,O,0,0
the,O,0,0
scada,O,0,0
system,O,0,0
integrates,O,0,0
these,O,0,0
sensors,O,0,0
and,O,0,0
provides,O,0,0
a,O,0,0
userfriendly,O,0,0
interface,O,0,0
for,O,0,0
remote,O,0,0
monitoring,O,0,0
and,O,0,0
control,O,0,0
.,O,0,0
a,O,0,0
smart,O,0,0
building,O,0,0
system,O,0,0
integrates,O,0,0
motion,B,6,1
sensors,I,6,1
to,O,0,0
automate,O,0,0
lighting,O,0,0
and,O,0,0
security,O,0,0
.,O,0,0
temperature,O,0,0
and,O,0,0
co,O,0,0
sensors,O,0,0
monitor,O,0,0
indoor,O,0,0
air,O,0,0
quality,O,0,0
while,O,0,0
smart,O,0,0
hvac,O,0,0
units,O,0,0
control,O,0,0
heating,O,0,0
and,O,0,0
cooling,O,0,0
based,O,0,0
on,O,0,0
occupancy,O,0,0
.,O,0,0
the,O,0,0
bacnet,B,15,1
protocol,O,0,0
is,O,0,0
used,O,0,0
for,O,0,0
communication,O,0,0
between,O,0,0
the,O,0,0
buildings,O,0,0
systems,O,0,0
.,O,0,0
occupancy,O,0,0
sensors,O,0,0
help,O,0,0
manage,O,0,0
energy,O,0,0
consumption,O,0,0
by,O,0,0
automatically,O,0,0
adjusting,O,0,0
the,O,0,0
lighting,O,0,0
and,O,0,0
temperature,O,0,0
in,O,0,0
unoccupied,O,0,0
rooms,O,0,0
.,O,0,0
fire,O,0,0
alarm,O,0,0
systems,O,0,0
include,O,0,0
smoke,B,14,1
detectors,I,14,1
that,O,0,0
send,O,0,0
realtime,O,0,0
alerts,O,0,0
through,O,0,0
the,O,0,0
lorawan,B,15,1
protocol,O,0,0
in,O,0,0
case,O,0,0
of,O,0,0
emergencies,O,0,0
.,O,0,0
a,O,0,0
wearable,O,0,0
health,O,0,0
monitoring,O,0,0
device,O,0,0
includes,O,0,0
heart,B,6,1
rate,I,6,1
sensors,I,6,1
body,O,0,0
temperature,O,0,0
sensors,O,0,0
and,O,0,0
accelerometers,O,0,0
to,O,0,0
track,O,0,0
physical,O,0,0
activity,O,0,0
.,O,0,0
the,O,0,0
data,O,0,0
is,O,0,0
transmitted,O,0,0
to,O,0,0
a,O,0,0
smartphone,O,0,0
app,O,0,0
via,O,0,0
the,O,0,0
bluetooth,B,4,1
protocol,O,0,0
.,O,0,0
the,O,0,0
device,O,0,0
also,O,0,0
includes,O,0,0
spo,O,0,0
sensors,O,0,0
to,O,0,0
measure,O,0,0
blood,O,0,0
oxygen,O,0,0
levels,O,0,0
and,O,0,0
an,O,0,0
ecg,O,0,0
sensor,O,0,0
for,O,0,0
realtime,O,0,0
heart,O,0,0
monitoring,O,0,0
.,O,0,0
all,O,0,0
data,O,0,0
is,O,0,0
securely,O,0,0
sent,O,0,0
to,O,0,0
a,O,0,0
cloud,O,0,0
server,O,0,0
using,O,0,0
the,O,0,0
https,O,0,0
protocol,O,0,0
for,O,0,0
further,O,0,0
analysis,O,0,0
by,O,0,0
healthcare,O,0,0
providers,O,0,0
.,O,0,0
in,O,0,0
a,O,0,0
smart,O,0,0
transportation,O,0,0
system,O,0,0
gps,B,4,1
sensors,O,0,0
track,O,0,0
the,O,0,0
location,O,0,0
of,O,0,0
vehicles,O,0,0
in,O,0,0
realtime,O,0,0
and,O,0,0
lidar,B,6,1
sensors,I,6,1
help,O,0,0
autonomous,O,0,0
cars,O,0,0
navigate,O,0,0
safely,O,0,0
by,O,0,0
detecting,O,0,0
obstacles,O,0,0
.,O,0,0
speed,O,0,0
sensors,O,0,0
are,O,0,0
integrated,O,0,0
into,O,0,0
the,O,0,0
vehicles,O,0,0
to,O,0,0
monitor,O,0,0
driving,O,0,0
speed,O,0,0
while,O,0,0
rfid,B,4,1
tags,O,0,0
are,O,0,0
used,O,0,0
for,O,0,0
vehicle,O,0,0
identification,O,0,0
at,O,0,0
toll,O,0,0
booths,O,0,0
.,O,0,0
the,O,0,0
system,O,0,0
uses,O,0,0
the,O,0,0
g,O,0,0
protocol,O,0,0
to,O,0,0
ensure,O,0,0
fast,O,0,0
and,O,0,0
reliable,O,0,0
data,O,0,0
transmission,O,0,0
between,O,0,0
vehicles,O,0,0
and,O,0,0
the,O,0,0
central,O,0,0
traffic,O,0,0
control,O,0,0
system,O,0,0
.,O,0,0
can,O,0,0
bus,O,0,0
is,O,0,0
used,O,0,0
within,O,0,0
the,O,0,0
vehicle,O,0,0
for,O,0,0
communication,O,0,0
between,O,0,0
internal,O,0,0
systems,O,0,0
.,O,0,0
the,O,0,0
smart,O,0,0
home,O,0,0
system,O,0,0
consists,O,0,0
of,O,0,0
a,O,0,0
central,B,11,1
hub,I,11,1
that,O,0,0
connects,O,0,0
to,O,0,0
various,O,0,0
iot,O,0,0
devices,O,0,0
including,O,0,0
a,O,0,0
smart,B,11,1
thermostat,I,11,1
a,O,0,0
smart,B,11,1
lighting,I,11,1
system,I,11,1
and,O,0,0
a,O,0,0
security,O,0,0
camera,O,0,0
.,O,0,0
the,O,0,0
thermostat,O,0,0
monitors,O,0,0
temperature,O,0,0
and,O,0,0
humidity,O,0,0
levels,O,0,0
in,O,0,0
the,O,0,0
house,O,0,0
automatically,O,0,0
adjusting,O,0,0
the,O,0,0
heating,O,0,0
or,O,0,0
cooling,O,0,0
based,O,0,0
on,O,0,0
user,O,0,0
preferences,O,0,0
.,O,0,0
the,O,0,0
lighting,B,11,1
system,I,11,1
can,O,0,0
be,O,0,0
controlled,O,0,0
remotely,O,0,0
via,O,0,0
a,O,0,0
mobile,O,0,0
app,O,0,0
and,O,0,0
can,O,0,0
turn,O,0,0
onoff,O,0,0
lights,O,0,0
based,O,0,0
on,O,0,0
occupancy,O,0,0
detection,O,0,0
.,O,0,0
the,O,0,0
security,O,0,0
camera,O,0,0
is,O,0,0
equipped,O,0,0
with,O,0,0
motion,B,6,1
sensors,I,6,1
and,O,0,0
sends,O,0,0
realtime,O,0,0
alerts,O,0,0
to,O,0,0
the,O,0,0
users,O,0,0
smartphone,O,0,0
in,O,0,0
case,O,0,0
of,O,0,0
suspicious,O,0,0
activity,O,0,0
.,O,0,0
in,O,0,0
the,O,0,0
manufacturing,O,0,0
plant,O,0,0
the,O,0,0
industrial,O,0,0
automation,O,0,0
system,O,0,0
integrates,O,0,0
several,O,0,0
iot,O,0,0
components,O,0,0
such,O,0,0
as,O,0,0
pressure,B,6,1
sensors,I,6,1
flow,B,6,1
sensors,I,6,1
and,O,0,0
hydraulic,B,13,1
actuators,I,13,1
.,O,0,0
the,O,0,0
pressure,B,6,1
sensors,I,6,1
monitor,O,0,0
pressure,O,0,0
levels,O,0,0
in,O,0,0
the,O,0,0
pipelines,O,0,0
providing,O,0,0
realtime,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
control,O,0,0
system,O,0,0
.,O,0,0
flow,B,6,1
sensors,I,6,1
measure,O,0,0
liquid,O,0,0
flow,O,0,0
rates,O,0,0
while,O,0,0
hydraulic,B,13,1
actuators,I,13,1
adjust,O,0,0
valves,O,0,0
according,O,0,0
to,O,0,0
operational,O,0,0
needs,O,0,0
.,O,0,0
these,O,0,0
systems,O,0,0
can,O,0,0
be,O,0,0
monitored,O,0,0
and,O,0,0
controlled,O,0,0
remotely,O,0,0
through,O,0,0
a,O,0,0
secure,O,0,0
user,O,0,0
interface,O,0,0
.,O,0,0
the,O,0,0
smart,O,0,0
city,O,0,0
infrastructure,O,0,0
includes,O,0,0
temperature,O,0,0
sensors,O,0,0
and,O,0,0
humidity,B,6,1
sensors,I,6,1
deployed,O,0,0
across,O,0,0
the,O,0,0
city,O,0,0
to,O,0,0
monitor,O,0,0
environmental,O,0,0
conditions,O,0,0
.,O,0,0
these,O,0,0
sensors,O,0,0
send,O,0,0
realtime,O,0,0
data,O,0,0
to,O,0,0
the,O,0,0
control,O,0,0
center,O,0,0
enabling,O,0,0
timely,O,0,0
responses,O,0,0
to,O,0,0
weather,O,0,0
changes,O,0,0
.,O,0,0
additionally,O,0,0
pressure,B,6,1
sensors,I,6,1
are,O,0,0
installed,O,0,0
in,O,0,0
water,O,0,0
pipelines,O,0,0
to,O,0,0
detect,O,0,0
leaks,O,0,0
and,O,0,0
ensure,O,0,0
efficient,O,0,0
water,O,0,0
distribution,O,0,0
.,O,0,0
smart,B,13,1
traffic,I,13,1
